id,الفعل الماضي,الجذر,باب الصرفي,اللزوم والتعدي,تم تدقيقه,تم إعادة تدقيقه,صحيح (الجذر حقيقي),المرجع ( المصدر ),المصدر
3257,غَمَا,غمو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَمْو
3258,غَمَى,غمي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَمْي
3259,غَنَثَ,غنث,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,غَنَث
3260,غَنِثَ,غنث,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَنَث
3261,غَنِجَ,غنج,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَنَج
3262,غَنِصَ,غنص,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَنَص
3263,غَنَضَ,غنض,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَنَض
3264,خَتَنَ,ختن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,خَتْن
3265,غَنَظَ,غنظ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَنَظ
3266,غَنِمَ,غنم,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,0,1,1, لسان العرب,غُنْم
3267,غَنَّ,غنن,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَنِين
3268,غَنِيَ,غني,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غِنًى
3269,غَهِبَ,غهب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَهَب
3270,غَاثَ,غوث,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غَوْث
3271,غَاجَ,غوج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب ,غَوْج
3272,غَارَ,غور,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غَوْر
3273,غَازَ,غوز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غَوْز
3274,غَاصَ,غوص,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب,غَوْص
3275,غَاطَ,غوط,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَوْط
3276,غَالَ,غول,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,غَوْل
3277,غَوَى,غوي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَوَايَة
3278,غَوِيَ,غوو,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَوًى
3279,غَابَ,غيب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَيْب
3280,غَاثَ,غيث,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب ,غَيْث
3281,غَيِدَ,غيد,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَيَد
3282,غَارَ,غير,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَيْرَة
3283,غَيِرَ,غير,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَيَر
3284,غَيِسَ,غيس,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَيِس
3285,غَاضَ,غيض,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَيْض
3286,غَاطَ,غيط,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب,غَيْط
3287,غَاظَ,غيظ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَيْظ
3288,غَافَ,غيف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب ,غَيْف
3289,غَالَ,غيل,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَيْل
3290,غَامَ,غيم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب ,غَيْم
3291,غَانَ,غين,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب ,غَيْن
3292,غَيِِنَ,غين,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَيَن
3293,خَتَنَ,ختن,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,خَتْن
3294,خَتَا,ختو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب,خَتَا
3295,خَثَرَ,خثر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب,خَثْر
3296,خَثِرَ,خثر,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,خَثَر
3297,خَثُرَ,خثر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب ,خُثُورَة
3298,خَثِمَ,خثم,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,خَتَم
3299,خَثَى,خثي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب ,خَثْي
3300,خَجَأَ,خجء,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,0,1,1, لسان العرب ,خَجْأ
3301,خَجِئَ,خجء,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,خَجَأ
3302,خَجَّ,خجج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,خَجّ
3303,خَجِلَ,خجل,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,خَجَل
3304,خَجَى,خجي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,خَجْو
3305,خَجِيَ,خجي,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,خَجًى
3306,خَدَبَ,خدب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,خَدْب
3307,خَدَبَ,خدب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,خُدُوب
3308,خَدِبَ,خدب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,خَدَب
3309,خَدَجَ,خدج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,خِدَاج
